Molecule,Prior_Up_Down,Type,Organ,Species,PMID,ID
Tfrc,Up,Protein,Muscle,Daurian ground squirrel,https://pubmed.ncbi.nlm.nih.gov/38522042/,Mouse_gene_symbol
Arid5b,Down,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Zfp354a,Down,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Tmem140,Down,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Kmt2e,Down,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Tmcc1,Down,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Ppp1r10,Down,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Rad52,Down,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Baz1b,Down,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Luc7l,Down,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Rarg,Down,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Fam126b,Down,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Chac1,Down,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Acsl3,Down,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Sh3d1g,Down,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Osgin1,Down,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Cpeb4,Down,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Hmgb1-ps8,Down,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Msc,Down,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Dusp1,Down,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
